country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Aruba,2000,ABW,89117.0,0.0,0.0,0.0,2.378,1.568,193.665,0.0,0.0,0.0,0.0,0.0,0.0,26.683,0.0,0.538,0.0,0.0,0.0,0.0,0.0,0.0,39.127,0.0,0.0,0.0,0.0,0.0,39.127,0.0,49568.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.378,26.683,0.0,0.0,4.417,0.0,0.009,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.023,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2000,AUS,19017968.0,691886620672.0,3.621,0.19,349.635,6.147,1.79,551.962,58.102,11.765,29.023,0.798,0.423,18.384,0.505,0.268,185.781,9.769,290.193,15.259,0.419,123.171,10650.507,21809.037,6447.391,80.648,770.059,11158.529,3197.148,32.092,68632.961,1.887,7.953,0.418,46.594,2.45,31.389,34.217,202.326,10.639,158.25,8.321,99.5,5.232,102.337,5.381,0.176,3.349,1305.259,0.502,1.374,1.806,2.019,0.669,1.018,1.295,1.227,0.753,0.631,1.737,0.874,0.794,2.851,0.985,3.955,0.993,1.549,1.704,0.007,0.01,0.019,0.002,650.73,596.96,-59.443,-17.001
Austria,2000,AUT,8010425.0,280410161152.0,1.712,0.214,66.15,0.499,0.76,64.281,-0.857,-1.316,8.025,0.229,0.164,8.258,0.236,0.169,15.753,1.967,91.797,11.46,0.327,102.269,4098.292,4316.666,2426.224,1.37,381.263,246.697,1175.677,11.488,48863.281,1.396,0.165,0.021,15.266,1.906,9.818,8.137,-1.869,-0.233,9.28,1.158,4.66,0.582,32.163,4.015,0.136,1.092,391.416,0.237,0.26,0.21,0.171,0.555,0.392,0.256,0.462,0.013,0.312,0.038,0.322,0.284,0.059,0.323,-0.037,0.312,0.505,0.213,0.001,0.002,0.002,0.0,65.18,78.65,25.648,38.772
Azerbaijan,2000,AZE,8190341.0,34255695872.0,0.121,0.015,29.506,0.936,3.278,32.657,0.057,0.175,3.987,0.953,0.247,3.603,0.861,0.223,0.0,0.0,23.636,2.886,0.69,15.894,1821.574,2566.647,24.112,6.335,641.048,764.677,1134.185,0.0,16123.289,3.855,0.0,0.0,11.421,1.394,4.608,4.417,3.151,0.385,7.58,0.925,2.4,0.293,17.965,2.193,0.0,0.0,132.055,0.017,0.116,0.107,0.0,0.086,0.174,0.152,0.005,0.059,0.525,0.119,0.31,0.0,0.0,0.241,0.062,0.174,0.0,0.134,0.0,0.001,0.002,0.0,36.18,37.74,-5.87,-19.894
Bahamas,2000,BHS,325033.0,0.0,0.0,0.0,2.026,-0.007,-0.36,1.99,-0.154,-7.179,6.121,0.0,0.121,6.234,0.0,0.123,0.004,0.011,0.0,0.0,0.0,4.262,126.573,129.688,0.176,0.0,0.0,7.731,122.136,0.0,50650.191,0.0,0.0,0.0,0.0,0.0,7.476,7.876,-0.037,-0.113,0.26,0.8,0.05,0.154,2.023,6.223,0.0,0.0,16.463,0.0,0.008,0.007,0.0,0.023,0.012,0.008,0.0,0.0,0.0,0.001,0.033,0.0,0.0,0.0,-0.001,0.02,0.0,0.006,0.0,0.0,0.0,0.0,2.56,2.43,0.0,0.0
Bahrain,2000,BHR,711446.0,11416501248.0,0.034,0.048,18.794,0.805,4.477,18.794,0.805,4.477,26.417,1.646,0.168,26.417,1.646,0.168,0.0,0.0,11.065,15.552,0.969,0.938,393.107,393.107,0.154,0.0,255.741,0.0,136.274,0.0,157253.031,9.8,0.0,0.0,16.144,22.691,35.758,35.758,0.0,0.0,8.77,12.327,0.07,0.098,2.616,3.677,0.0,0.0,111.877,0.005,0.074,0.061,0.0,0.005,0.038,0.023,0.0,0.0,0.21,0.0,0.037,0.0,0.0,0.341,0.0,0.025,0.0,0.082,0.001,0.0,0.001,0.0,25.44,25.44,-7.729,-41.127
Bangladesh,2000,BGD,129193336.0,200830320640.0,0.704,0.005,26.525,1.45,5.781,38.579,-0.859,-2.177,0.299,0.192,0.283,0.205,0.132,0.195,1.253,0.01,25.573,0.198,0.127,4.068,414.074,2327.598,28.266,0.0,197.386,4467.698,184.355,0.0,1053.621,0.678,0.0,0.0,16.88,0.131,0.894,1.066,12.055,0.093,72.19,0.559,21.38,0.165,7.687,0.06,0.0,0.0,136.121,0.098,0.104,0.126,0.014,0.022,0.04,0.138,0.005,0.0,0.162,0.695,0.05,0.0,0.0,0.357,0.236,0.075,0.0,0.457,0.003,0.002,0.005,0.001,137.75,115.46,-0.952,-3.589
Barbados,2000,BRB,264663.0,3452406272.0,0.133,0.503,1.152,-0.011,-0.934,1.152,0.026,2.29,4.351,0.334,0.165,4.351,0.334,0.165,0.0,0.0,0.0,0.0,0.0,1.497,28.35,29.962,0.055,0.0,1.021,4.433,25.778,0.0,26318.064,2.018,0.0,0.0,0.037,0.138,13.564,13.564,0.0,0.0,2.28,8.615,0.05,0.189,0.982,3.71,0.0,0.0,6.965,0.018,0.005,0.004,0.0,0.008,0.003,0.002,0.0,0.0,0.001,0.001,0.007,0.0,0.0,0.001,0.0,0.01,0.0,0.002,0.0,0.0,0.0,0.0,3.59,3.59,0.0,0.0
Belarus,2000,BLR,10256489.0,91419115520.0,0.862,0.084,54.906,-3.06,-5.278,51.755,-13.282,-20.422,5.046,0.566,0.203,5.353,0.601,0.215,4.198,0.409,41.97,4.092,0.459,43.653,3749.505,7639.132,470.8,10.01,590.684,4084.004,2610.977,23.38,24868.184,2.79,0.006,0.001,31.337,3.055,7.693,4.523,-3.151,-0.307,14.34,1.398,11.62,1.133,17.209,1.678,0.126,1.293,255.06,0.119,0.216,0.169,0.046,0.237,0.358,0.454,0.09,0.094,0.484,0.636,0.714,0.578,0.002,0.662,-0.062,0.167,0.598,0.37,0.001,0.003,0.004,0.0,46.39,78.9,-12.936,-23.561
Belgium,2000,BEL,10264351.0,345736773632.0,3.27,0.319,126.72,2.015,1.616,129.394,-0.586,-0.451,12.606,0.374,0.174,12.346,0.367,0.17,31.672,3.086,189.489,18.461,0.548,165.686,10329.627,10499.098,7139.485,1.067,632.026,310.634,2363.789,27.575,72420.406,2.15,0.165,0.016,33.199,3.234,13.469,13.079,2.675,0.261,12.14,1.183,7.68,0.748,55.732,5.43,0.261,2.681,743.348,0.453,0.498,0.423,0.344,0.9,0.987,0.623,1.359,0.01,0.518,0.048,0.646,0.682,0.059,0.702,0.052,0.541,1.24,0.507,0.001,0.005,0.006,0.0,134.25,138.25,62.77,49.534
